Year,CPI,Exchange_Rate,Interest_Rate,Inflation
1924,0.0379,0.1836,0.0082,0.01
1925,0.0375,0.1776,0.0081,0.0099
1926,0.0394,0.1845,0.0086,0.0104
1927,0.0397,0.1895,0.0084,0.0105
1928,0.0409,0.1983,0.0087,0.0108
1929,0.0397,0.1928,0.0086,0.0105
1930,0.042,0.2087,0.0093,0.0111
1931,0.0428,0.2334,0.0093,0.0113
1932,0.0428,0.259,0.0091,0.0113
1933,0.045,0.2874,0.0094,0.0119
1934,0.0481,0.2976,0.0106,0.0127
1935,0.0477,0.2888,0.0103,0.0126
1936,0.0519,0.3095,0.0112,0.0137
1937,0.0519,0.2987,0.0114,0.0137
1938,0.0553,0.3251,0.0119,0.0146
1939,0.0556,0.3321,0.0118,0.0147
1940,0.0575,0.3409,0.0127,0.0152
1941,0.0583,0.329,0.0125,0.0154
1942,0.0598,0.3044,0.0128,0.0158
1943,0.0598,0.2868,0.0128,0.0158
1944,0.0613,0.289,0.0132,0.0162
1945,0.0625,0.2878,0.0136,0.0165
1946,0.0644,0.2737,0.0136,0.017
1947,0.0647,0.2408,0.0142,0.0171
1948,0.0662,0.228,0.0146,0.0175
1949,0.0693,0.2414,0.0149,0.0183
1950,0.067,0.2306,0.0144,0.0177
1951,0.0712,0.227,0.0156,0.0188
1952,0.0693,0.2168,0.0148,0.0183
1953,0.0715,0.2223,0.0158,0.0189
1954,0.0697,0.2148,0.0152,0.0184
1955,0.0738,0.2285,0.0161,0.0195
1956,0.0704,0.2147,0.0153,0.0186
1957,0.0746,0.2201,0.0162,0.0197
1958,0.0742,0.213,0.0162,0.0196
1959,0.0727,0.2072,0.016,0.0192
1960,0.078,0.2185,0.0169,0.0206
1961,0.0768,0.2132,0.0167,0.0203
1962,0.0757,0.2079,0.0163,0.02
1963,0.078,0.2114,0.0165,0.0206
1964,0.078,0.2087,0.0173,0.0206
1965,0.0787,0.2073,0.017,0.0208
1966,0.0803,0.2055,0.0172,0.0212
1967,0.0776,0.1927,0.0168,0.0205
1968,0.0829,0.1976,0.0182,0.0219
1969,0.0806,0.1822,0.0173,0.0213
1970,0.0837,0.1789,0.0176,0.0221
1971,0.0924,0.1892,0.0197,0.0244
1972,0.1049,0.2081,0.0225,0.0277
1973,0.1219,0.2277,0.0268,0.0322
1974,0.131,0.2204,0.0285,0.0346
1975,0.1408,0.2171,0.0311,0.0372
1976,0.1544,0.2252,0.0328,0.0408
1977,0.1711,0.2342,0.0369,0.0452
1978,0.1881,0.2394,0.0405,0.0497
1979,0.2033,0.2323,0.0441,0.0537
1980,0.226,0.2275,0.0483,0.0597
1981,0.2199,0.2007,0.0469,0.0581
1982,0.2351,0.2021,0.0508,0.0621
1983,0.2396,0.1996,0.0534,0.0633
1984,0.2423,0.1934,0.053,0.064
1985,0.2438,0.1879,0.0518,0.0644
1986,0.2555,0.1934,0.0562,0.0675
1987,0.2483,0.1813,0.0535,0.0656
1988,0.2665,0.1869,0.0586,0.0704
1989,0.2707,0.1811,0.0571,0.0715
1990,0.2718,0.1725,0.0594,0.0718
1991,0.2979,0.1814,0.0631,0.0787
1992,0.3335,0.1972,0.0699,0.0881
1993,0.3729,0.214,0.0832,0.0985
1994,0.4081,0.2284,0.0887,0.1078
1995,0.4558,0.2481,0.0979,0.1204
1996,0.4713,0.2492,0.1005,0.1245
1997,0.4868,0.2516,0.105,0.1286
1998,0.4978,0.2533,0.1118,0.1315
1999,0.5383,0.268,0.1152,0.1422
2000,0.5269,0.2538,0.1125,0.1392
2001,0.5826,0.2729,0.1259,0.1539
2002,0.6727,0.3102,0.1514,0.1777
2003,0.7544,0.3401,0.1653,0.1993
2004,0.8354,0.3669,0.1817,0.2207
2005,0.9509,0.4039,0.2081,0.2512
2006,1.1757,0.4838,0.2579,0.3106
2007,1.446,0.5786,0.3096,0.382
2008,1.7538,0.6757,0.3746,0.4633
2009,1.8458,0.7138,0.402,0.4876
2010,1.8068,0.6872,0.3858,0.4773
2011,1.9207,0.7084,0.4291,0.5074
2012,1.9942,0.7204,0.4303,0.5268
2013,2.0543,0.7314,0.4413,0.5427
2014,2.1641,0.7584,0.4659,0.5717
2015,2.4189,0.8466,0.5217,0.639
2016,2.3848,0.8243,0.5246,0.63
2017,2.3651,0.8004,0.5173,0.6248
2018,2.4541,0.8107,0.5313,0.6483
2019,2.5181,0.8169,0.5637,0.6652
2020,2.5756,0.8255,0.5666,0.6804
2021,2.6123,0.7996,0.5697,0.6901
2022,2.7974,0.7928,0.6088,0.739
2023,2.9882,0.8135,0.644,0.7894
2024,2.8996,0.766,0.6249,0.766
