Year,Country,Code,Currency,Region,Decade,CPI,Exchange_Rate,Interest_Rate,Inflation
1924,Indonesia,IDN,IDR,Asia,1920s,0.01,0.0379,0.1836,0.0082
1925,Indonesia,IDN,IDR,Asia,1920s,0.0099,0.0375,0.1776,0.0081
1926,Indonesia,IDN,IDR,Asia,1920s,0.0104,0.0394,0.1845,0.0086
1927,Indonesia,IDN,IDN,Asia,1920s,0.0105,0.0397,0.1895,0.0084
1928,Indonesia,IDN,IDR,Asia,1920s,0.0108,0.0409,0.1983,0.0087
1929,Indonesia,IDN,IDR,Asia,1920s,0.0105,0.0397,0.1928,0.0086
1930,Indonesia,IDN,IDR,Asia,1930s,0.0111,0.042,0.2087,0.0093
1931,Indonesia,IDN,IDR,Asia,1930s,0.0113,0.0428,0.2334,0.0093
1932,Indonesia,IDN,IDR,Asia,1930s,0.0113,0.0428,0.259,0.0091
1933,Indonesia,IDN,IDR,Asia,1930s,0.0119,0.045,0.2874,0.0094
1934,Indonesia,IDN,IDR,Asia,1930s,0.0127,0.0481,0.2976,0.0106
1935,Indonesia,IDN,IDR,Asia,1930s,0.0126,0.0477,0.2888,0.0103
1936,Indonesia,IDN,IDR,Asia,1930s,0.0137,0.0519,0.3095,0.0112
1937,Indonesia,IDN,IDR,Asia,1930s,0.0137,0.0519,0.2987,0.0114
1938,Indonesia,IDN,IDR,Asia,1930s,0.0146,0.0553,0.3251,0.0119
1939,Indonesia,IDN,IDR,Asia,1930s,0.0147,0.0556,0.3321,0.0118
1940,Indonesia,IDN,IDR,Asia,1940s,0.0152,0.0575,0.3409,0.0127
1941,Indonesia,IDN,IDR,Asia,1940s,0.0154,0.0583,0.329,0.0125
1942,Indonesia,IDN,IDR,Asia,1940s,0.0158,0.0598,0.3044,0.0128
1943,Indonesia,IDN,IDR,Asia,1940s,0.0158,0.0598,0.2868,0.0128
1944,Indonesia,IDN,IDR,Asia,1940s,0.0162,0.0613,0.289,0.0132
